"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Confira este musical.ly: https://t.co/BS25rOGYm5 (feito por unicorniana9 com @musicallyapp) ##mds https://t.co/1lqdKt5lsG",FALSE,0,NA,2016-10-14 21:55:33,FALSE,NA,"787049227893473280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Unicorniana9",0,FALSE,FALSE,NA,NA
"2","Job Opportunity: MDS Coordinator with a Subacute/Skilled Nursing Facility  in Brooklyn, NY https://t.co/U9u8VaqYFG #MDS",FALSE,0,NA,2016-10-14 21:43:50,FALSE,NA,"787046280971313152",NA,"<a href=""http://www.bullhornreach.com/"" rel=""nofollow"">Bullhorn Reach</a>","DNGPlacement",0,FALSE,FALSE,NA,NA
"3","Mi ejercicio favorito ⏰#relojito #mds #likeparaquelleguealpiso @… https://t.co/16orqmfVe1",FALSE,0,NA,2016-10-14 20:40:08,FALSE,NA,"787030251297710081",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Morganmorganzel",0,FALSE,FALSE,"-107.3749","24.81359"
"4","Job Opportunity: MDS Coordinator with a Subacute/Skilled Nursing Facility . Are you a fit? in Brooklyn, NY https://t.co/ZbjoKRBI1Q #MDS",FALSE,0,NA,2016-10-14 20:25:46,FALSE,NA,"787026633773441024",NA,"<a href=""http://www.bullhornreach.com/"" rel=""nofollow"">Bullhorn Reach</a>","DNGPlacement",0,FALSE,FALSE,NA,NA
"5","I learned a lot.... 
  Praying for you #Fam ! 
 #AA #MDS https://t.co/w5mZdRlGNc",FALSE,0,NA,2016-10-14 19:51:50,FALSE,NA,"787018093369360384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FarealDoe",0,FALSE,FALSE,NA,NA
"6","RT @ASH_hematology: Register for this free summit: learn how to treat patients w/ #MDS in Austin this year https://t.co/qX2tMRT8CB #MDSDx",FALSE,0,NA,2016-10-14 19:47:20,FALSE,NA,"787016960592715780",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","joshyoburn",1,TRUE,FALSE,NA,NA
"7","Register for this free summit: learn how to treat patients w/ #MDS in Austin this year https://t.co/qX2tMRT8CB #MDSDx",FALSE,0,NA,2016-10-14 19:43:00,FALSE,NA,"787015873194254337",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","ASH_hematology",1,FALSE,FALSE,NA,NA
"8","RT @Harmonyhlthcare: Looking to Learn More about #MDS #SectionGG? Join us for two-days of interdisciplinary training.  https://t.co/YJBgEua…",FALSE,0,NA,2016-10-14 19:10:03,FALSE,NA,"787007581067874309",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaLFournier",1,TRUE,FALSE,NA,NA
"9","MDS PARTEEEE 2016
#mds #marksdanceschool
#party #fun #happy #water #slide https://t.co/eVCKhldsw0",FALSE,0,NA,2016-10-14 18:25:47,FALSE,NA,"786996440111341568",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MarkTadford",0,FALSE,FALSE,NA,NA
"10","Amigos, les dejo las actividades para este sábado en el marco de La Feria del Alfeñique ¡Están increíbles! #MDS https://t.co/o6ey4KmI9I",FALSE,0,NA,2016-10-14 18:18:39,FALSE,NA,"786994646291329024",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","mariands2805",0,FALSE,FALSE,NA,NA
