"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @godobrown: We should remember that #FidelRamos cheated #MiriamDefensorSantiago decades ago for presidency. Miriam died as our true nati‚Ä¶",FALSE,0,NA,2016-10-10 11:14:30,FALSE,NA,"785438353353084929",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","BearEmpty",1,TRUE,FALSE,NA,NA
"2","RT @CJumila: #MiriamDefensorSantiago you are worth my tears., the senate will never be the same again Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠",FALSE,0,NA,2016-10-09 22:49:56,FALSE,NA,"785250977360257029",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fuereu205",1,TRUE,FALSE,NA,NA
"3","We should remember that #FidelRamos cheated #MiriamDefensorSantiago decades ago for presidency. Miriam died as our true national hero.",FALSE,0,NA,2016-10-09 14:56:25,FALSE,NA,"785131810095177732",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","godobrown",1,FALSE,FALSE,NA,NA
"4","RT @leahb0404: Always fight for the things what you think is right!..

#MiriamDefensorSantiago",FALSE,0,NA,2016-10-08 23:19:40,FALSE,NA,"784896068735553536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HannaBurizon",1,TRUE,FALSE,NA,NA
"5","I hate the fact that Mrs. Defensor Santiago was allready gone 

#MiriamDefensorSantiago",FALSE,0,NA,2016-10-08 14:07:06,FALSE,NA,"784757010474545152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HaileyAbegail",0,FALSE,FALSE,NA,NA
"6","RT @misscynelgrace2: YOU'RE THE BEST MIRIAM DEFENSOR SANTIAGO! Ì†ΩÌ±µÌ†ºÌøºÌ†ΩÌ±ë Ì†ΩÌπèÌ†ºÌ∑¶Ì†ºÌ∑™ #MiriamDefensorSantiago #MyPresident #MMKSenatorMiriam",FALSE,0,NA,2016-10-08 14:04:13,FALSE,NA,"784756288215408640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ejtuazonnn_",2,TRUE,FALSE,NA,NA
"7","RT @misscynelgrace2: YOU'RE THE BEST MIRIAM DEFENSOR SANTIAGO! Ì†ΩÌ±µÌ†ºÌøºÌ†ΩÌ±ë Ì†ΩÌπèÌ†ºÌ∑¶Ì†ºÌ∑™ #MiriamDefensorSantiago #MyPresident #MMKSenatorMiriam",FALSE,0,NA,2016-10-08 14:02:48,FALSE,NA,"784755929585680385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lkcreid",2,TRUE,FALSE,NA,NA
"8","YOU'RE THE BEST MIRIAM DEFENSOR SANTIAGO! Ì†ΩÌ±µÌ†ºÌøºÌ†ΩÌ±ë Ì†ΩÌπèÌ†ºÌ∑¶Ì†ºÌ∑™ #MiriamDefensorSantiago #MyPresident #MMKSenatorMiriam",FALSE,1,NA,2016-10-08 14:01:59,FALSE,NA,"784755724752523266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","misscynelgrace2",2,FALSE,FALSE,NA,NA
"9","I salute you, Sen. Miriam Defensor Santiago Ì†ΩÌπåÌ†ΩÌ±çÌ†ΩÌ±åÌ†ΩÌ±è #MiriamDefensorSantiago #MyPresident #MMKSenatorMiriam",FALSE,2,NA,2016-10-08 14:00:00,FALSE,NA,"784755225647124481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","misscynelgrace2",0,FALSE,FALSE,NA,NA
"10","Grabe dami achievements Ì†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±è #MiriamDefensorSantiago Ì†ΩÌπåÌ†ΩÌπåÌ†ΩÌπå #MMKSenatorMiriam",FALSE,0,NA,2016-10-08 13:58:55,FALSE,NA,"784754952107196417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","misscynelgrace2",0,FALSE,FALSE,NA,NA
