"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Ì†ΩÌ≥∑ Miriam Palma Defensor Santiago (15 June 1945- 29 September 2016), informally known by her initials... https://t.co/IV3XmoN0Wj",FALSE,0,NA,2016-10-15 06:23:15,FALSE,NA,"787176996820377600",NA,"<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","maichardtswift",0,FALSE,FALSE,NA,NA
"2","Lord can u just take donald trump and bring back miriam defensor santiago haha",FALSE,2,NA,2016-10-15 06:20:38,FALSE,NA,"787176337366626304",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cynthiajulienne",1,FALSE,FALSE,NA,NA
"3","RT @jabberwacky_: If you're tired watching Duterte's trash-like speeches, try Barack Obama, Justin Trudeau, Margaret Thatcher and Miriam De‚Ä¶",FALSE,0,NA,2016-10-15 00:37:31,FALSE,NA,"787089987212718080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoieLao",1,TRUE,FALSE,NA,NA
"4","If you're tired watching Duterte's trash-like speeches, try Barack Obama, Justin Trudeau, Margaret Thatcher and Miriam Defensor-Santiago.",FALSE,3,NA,2016-10-14 23:54:09,FALSE,NA,"787079077383450625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jabberwacky_",1,FALSE,FALSE,NA,NA
"5","Delima campus tour trying hard to be another Miriam Defensor-Santiago."" https://t.co/S2X2ZUQdoY",FALSE,0,NA,2016-10-14 21:20:49,FALSE,NA,"787040486309629952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","warriorlien",1,FALSE,FALSE,NA,NA
"6","DELIMA ON campus tour trying hard to be another Miriam Defensor-Santiago.""  toinkz!!, ,si MDS wala banana issue Delima kaya makunsensya ka..",FALSE,0,NA,2016-10-14 20:41:56,FALSE,NA,"787030704748109824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","warriorlien",0,FALSE,FALSE,NA,NA
"7","RT @senatePH: SENATE PAYS TRIBUTE TO SEN. MIRIAM DEFENSOR-SANTIAGO: Senate President Aquilino ""Koko"" Pimentel III (2nd from... https://t.co‚Ä¶",FALSE,0,NA,2016-10-14 15:04:21,FALSE,NA,"786945746276720640",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","eliangelgarcia",6,TRUE,FALSE,NA,NA
"8","RT @milkyway1969: Statement of Sen. Bongbong Marcos on the passing of Sen. Miriam Defensor Santiago 
#ALDUBAbangan #BBM4PDU30
https://t.co/‚Ä¶",FALSE,0,NA,2016-10-14 14:19:19,FALSE,NA,"786934413871292416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","milkyway1969",1,TRUE,FALSE,NA,NA
"9","RT @MarJiuana38: ""What is the purpose of life? The meaning is not for you to find but for you to define."" - Miriam Defensor Santiago #RIPMi‚Ä¶",FALSE,0,NA,2016-10-14 14:17:33,FALSE,NA,"786933970709602304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ja9austria",2,TRUE,FALSE,NA,NA
"10","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass‚Ä¶",FALSE,0,NA,2016-10-14 14:05:06,FALSE,NA,"786930834917830658",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kalamolangYON",533,TRUE,FALSE,NA,NA
